,base,clouds,cod,coord,dt,id,main,name,rain,snow,sys,timezone,visibility,weather,wind
0,stations,{'all': 82},200,"{'lon': -101.27, 'lat': 52.11}",1570150432,6160362,"{'temp': 276.335, 'pressure': 1023.48, 'humidity': 80, 'temp_min': 276.335, 'temp_max': 276.335, 'sea_level': 1023.48, 'grnd_level': 938.53}",Swan River,,,"{'message': 0.0069, 'country': 'CA', 'sunrise': 1570106941, 'sunset': 1570148345}",-18000,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 2.39, 'deg': 195.959}"
1,stations,{'all': 90},200,"{'lon': -73.48, 'lat': 45.36}",1570150432,6138908,"{'temp': 280.83, 'pressure': 1016, 'humidity': 70, 'temp_min': 279.26, 'temp_max': 282.15}",Saint-Philippe,,,"{'type': 1, 'id': 820, 'message': 0.0073, 'country': 'CA', 'sunrise': 1570100047, 'sunset': 1570141902}",-14400,14484.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 4.1, 'deg': 50}"
2,stations,{'all': 75},200,"{'lon': 18.42, 'lat': -33.93}",1570150433,3369157,"{'temp': 287.82, 'pressure': 1019, 'humidity': 93, 'temp_min': 287.04, 'temp_max': 288.71}",Cape Town,,,"{'type': 1, 'id': 1899, 'message': 0.0058, 'country': 'ZA', 'sunrise': 1570162781, 'sunset': 1570207828}",7200,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 3.1, 'deg': 350}"
3,stations,{'all': 40},200,"{'lon': -42.02, 'lat': -22.97}",1570150339,3471451,"{'temp': 295.15, 'pressure': 1019, 'humidity': 88, 'temp_min': 295.15, 'temp_max': 295.15}",Arraial do Cabo,,,"{'type': 1, 'id': 8343, 'message': 0.0064, 'country': 'BR', 'sunrise': 1570091212, 'sunset': 1570135640}",-10800,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 6.2, 'deg': 60}"
4,stations,{'all': 18},200,"{'lon': 20.04, 'lat': -34.53}",1570150434,1015776,"{'temp': 287.58, 'pressure': 1017, 'humidity': 82, 'temp_min': 286.15, 'temp_max': 288.71}",Bredasdorp,,,"{'type': 1, 'id': 1966, 'message': 0.0062, 'country': 'ZA', 'sunrise': 1570162375, 'sunset': 1570207456}",7200,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 1.5, 'deg': 360}"
5,stations,{'all': 75},200,"{'lon': 48.54, 'lat': 51.76}",1570150434,559731,"{'temp': 285.715, 'pressure': 1019.18, 'humidity': 79, 'temp_min': 285.715, 'temp_max': 285.715, 'sea_level': 1019.18, 'grnd_level': 1012.24}",Gornyy,,,"{'message': 0.0055, 'country': 'RU', 'sunrise': 1570157431, 'sunset': 1570198723}",14400,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 3.84, 'deg': 168.868}"
6,stations,{'all': 0},200,"{'lon': -73.76, 'lat': -42.48}",1570150435,3896218,"{'temp': 281.15, 'pressure': 1025, 'humidity': 75, 'temp_min': 281.15, 'temp_max': 281.15}",Castro,,,"{'type': 1, 'id': 8512, 'message': 0.0056, 'country': 'CL', 'sunrise': 1570098305, 'sunset': 1570143779}",-10800,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.6, 'deg': 220}"
7,stations,{'all': 100},200,"{'lon': 170.27, 'lat': 69.7}",1570150435,2122090,"{'temp': 272.795, 'pressure': 999.07, 'humidity': 84, 'temp_min': 272.795, 'temp_max': 272.795, 'sea_level': 999.07, 'grnd_level': 998.48}",Pevek,,,"{'message': 0.0067, 'country': 'RU', 'sunrise': 1570129334, 'sunset': 1570168403}",43200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 5.67, 'deg': 36.771}"
8,stations,{'all': 100},200,"{'lon': 167.88, 'lat': -21.55}",1570150436,2138285,"{'temp': 293.855, 'pressure': 1018.97, 'humidity': 71, 'temp_min': 293.855, 'temp_max': 293.855, 'sea_level': 1018.97, 'grnd_level': 1019.02}",Tadine,,,"{'message': 0.0068, 'country': 'NC', 'sunrise': 1570127242, 'sunset': 1570171642}",39600,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 8.23, 'deg': 125.195}"
9,stations,{'all': 71},200,"{'lon': -53.48, 'lat': -1.8}",1570150437,3391287,"{'temp': 301.455, 'pressure': 1010.76, 'humidity': 59, 'temp_min': 301.455, 'temp_max': 301.455, 'sea_level': 1010.76, 'grnd_level': 1008.97}",Prainha,,,"{'message': 0.0065, 'country': 'BR', 'sunrise': 1570094346, 'sunset': 1570138005}",-10800,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 1.39, 'deg': 77.53}"
10,stations,{'all': 65},200,"{'lon': 12.15, 'lat': -15.19}",1570150437,3347019,"{'temp': 291.605, 'pressure': 1012.19, 'humidity': 81, 'temp_min': 291.605, 'temp_max': 291.605, 'sea_level': 1012.19, 'grnd_level': 1012.25}",Namibe,,,"{'message': 0.0064, 'country': 'AO', 'sunrise': 1570164726, 'sunset': 1570208891}",3600,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 3.69, 'deg': 187.439}"
11,stations,{'all': 75},200,"{'lon': -159.32, 'lat': 22.08}",1570150437,5848280,"{'temp': 302.15, 'pressure': 1016, 'humidity': 70, 'temp_min': 299.82, 'temp_max': 304.15}",Kapaa,{'1h': 1.02},,"{'type': 1, 'id': 7873, 'message': 0.0061, 'country': 'US', 'sunrise': 1570120148, 'sunset': 1570162995}",-36000,16093.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]","{'speed': 7.2, 'deg': 50}"
12,stations,{'all': 100},200,"{'lon': 168.86, 'lat': -46.19}",1570150438,6201424,"{'temp': 289.26, 'pressure': 1005, 'humidity': 60, 'temp_min': 289.26, 'temp_max': 289.26}",Mataura,,,"{'type': 3, 'id': 2008959, 'message': 0.0062, 'country': 'NZ', 'sunrise': 1570126300, 'sunset': 1570172113}",46800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 4.92, 'deg': 320, 'gust': 8.49}"
13,stations,{'all': 0},200,"{'lon': 30.47, 'lat': 67.56}",1570150439,543508,"{'temp': 270.695, 'pressure': 1021.9, 'humidity': 96, 'temp_min': 270.695, 'temp_max': 270.695, 'sea_level': 1021.9, 'grnd_level': 998.17}",Kovdor,,,"{'message': 0.0073, 'country': 'RU', 'sunrise': 1570162742, 'sunset': 1570202083}",10800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 0.94, 'deg': 315.475}"
